Country,Period,"Real capital flight for period ($bn, 2000)","Flight stock ($bn, 2010)","External debt ($bn, 2010)",Flight stock to debt (%) 2010,geometry,geometry_vertex_count,OBJECTID,ISO_2DIGIT,Shape_Leng,Shape_Area,import_notes,Google requests
Gabon,1970-2010,22.9,36.1,2.4,1504,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.0250633113,-1.29431794354,0 8.71000014291,-0.641109018814,0 9.00777328902,-0.813890889146,0 9.29833615436,-0.371663855669,0 9.35083620504,0.362018045287,0 9.466945178,0.167217921079,0 9.9211092151,0.185282263578,0 9.49770910967,0.293682064887,0 9.30860918256,0.52639119033,0 9.54221802149,0.672500000665,0 9.60000017993,0.481109131765,0 9.57200914948,0.99660003417,0 9.80397329136,1.00260902057,0 11.3538911284,1.0019450062,0 11.3397630953,2.16860903668,0 11.3673450889,2.29887303249,0 12.3356540624,2.31790012039,0 13.2938911733,2.16360906379,0 13.1867821851,1.222473047,0 13.8044453024,1.43562702464,0 14.1915272918,1.39055401074,0 14.4856911904,0.917218046459,0 13.9604181041,0.348609011825,0 13.8490271368,-0.202635904503,0 14.5195822425,-0.61333591784,0 14.4280542065,-1.88458196036,0 14.2588913067,-1.97368192664,0 14.1108362185,-2.49305482369,0 13.8705540435,-2.4708999448,0 13.764445184,-2.09076403856,0 13.4846542377,-2.43465491898,0 13.0015092674,-2.36767295123,0 12.6525002292,-1.8234728569,0 12.4369451716,-1.90110889417,0 12.4780542158,-2.32721786308,0 11.57347302,-2.3363908503,0 11.5427732937,-2.83166393164,0 11.8048631692,-3.01541804853,0 11.7063910616,-3.17778188374,0 11.9622912368,-3.29742684638,0 11.9218731967,-3.62749999174,0 11.7400001465,-3.68666399075,0 11.4920822254,-3.50902698681,0 11.1406632224,-3.92527280258,0 9.70250012722,-2.44791793969,0 10.016109203,-2.63971784547,0 10.1334731145,-2.52389083973,0 9.61097309705,-2.37069093929,0 9.32250017545,-1.90749992773,0 9.53687321709,-2.06839994736,0 9.51805416803,-1.92694594315,0 9.26277308019,-1.84944586034,0 8.98548212037,-1.24305489413,0 9.01923604456,-1.30548196805,0 9.29110910978,-1.63889094324,0 9.51389121199,-1.59666375312,0 9.28832715611,-1.57041783491,0 9.33343621219,-1.28559087357,0 9.2247180662,-1.41125488089,0 9.02839126214,-1.29862707997,0 9.02666324898,-1.29763600374,0 9.0250633113,-1.29431794354,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",62,73,GA,29.549215,21.276077,,
Ghana,1970-2010,1.9,4.7,8.4,56,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.626754213305,5.85665415553,0 0.663745228502,5.75992716026,0 0.255836053654,5.75777301113,0 -2.05889088773,4.73083614517,0 -3.10304585924,5.08501799106,0 -3.10227271249,5.1095451162,0 -2.92812677123,5.10021823724,0 -2.73444579874,5.11278203958,0 -2.76444580376,5.5791640417,0 -3.01360877282,5.70750003213,0 -3.24889080727,6.61374520338,0 -2.77513692129,7.94291824363,0 -2.4877818103,8.19777302788,0 -2.76749983401,9.06360904381,0 -2.68556388039,9.48181806895,0 -2.9275267946,10.7081449893,0 -2.83404577516,11.002009151,0 -0.618472892944,10.9138910409,0 -0.149763906863,11.1385361049,0 0.0313180592932,11.0771542543,0 -0.0787547698948,10.6508271883,0 0.366527132022,10.254164013,0 0.217218278684,9.46028210978,0 0.550627253882,9.40889098489,0 0.512782122749,8.84444507394,0 0.382736056428,8.76075411743,0 0.726245224981,8.32374515397,0 0.525000255404,6.94778215077,0 0.758891229197,6.4477820113,0 1.19889119099,6.10054507512,0 0.945000157978,5.78083615306,0 0.687991056971,5.75385413611,0 0.626754213305,5.85665415553,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",33,78,GH,20.588616,19.631539,,
Guinea,1986-2010,-0.9,-0.8,2.9,na,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-8.46974579584,7.56132707136,0 -8.66055479302,7.6949999872,0 -8.84444587022,7.27173600388,0 -9.10997299653,7.19392713176,0 -9.32444595046,7.42680909205,0 -9.48516374752,7.36199116406,0 -9.35385486366,7.74236411052,0 -9.4836548373,8.34692715128,0 -9.66986384601,8.49069120802,0 -10.2666548509,8.48837310887,0 -10.6958367931,8.29860899974,0 -10.5080548364,8.71791806585,0 -10.5715267984,9.05952705695,0 -10.7396548685,9.0913910296,0 -10.6572909349,9.30263611261,0 -11.2144457635,9.99750007874,0 -12.4561088845,9.8883360155,0 -12.7977817457,9.2980540614,0 -13.295608793,9.03214505558,0 -13.4931367237,9.56007302595,0 -13.6722268144,9.56332704841,0 -13.6886369045,9.95219103045,0 -13.8223639674,9.84944515813,0 -14.4574998325,10.2936090818,0 -14.5358268738,10.5066732054,0 -14.6606997972,10.4733271447,0 -14.5165268712,10.8427731068,0 -14.6986087984,10.6404820757,0 -14.818208834,10.9159451101,0 -14.9844457791,10.7690269432,0 -15.0168456906,10.9564541777,0 -14.6781269474,11.5126362027,0 -13.7081908788,11.7176360972,0 -13.7140727956,12.0161820548,0 -13.9639819217,12.1534910403,0 -13.6693087386,12.3186091689,0 -13.7131367046,12.6772181684,0 -13.0563178618,12.634099982,0 -13.0456998345,12.4790270614,0 -12.8962548591,12.5450000157,0 -12.3453998689,12.3017451149,0 -11.3730548414,12.4077730052,0 -11.4941637872,12.1763820179,0 -11.3195818193,12.0256909887,0 -10.9288909177,12.2244450243,0 -10.652745764,11.8926091647,0 -10.3270907198,12.2235362584,0 -9.70194574814,12.0291641141,0 -9.3184728386,12.268054055,0 -9.35986385006,12.4884731311,0 -8.97999985277,12.3927730866,0 -8.77972684869,11.9258360348,0 -8.83166380311,11.6616640946,0 -8.36284585229,11.3751180049,0 -8.67152670431,10.9589270068,0 -8.28971777019,11.0077732182,0 -8.26999984583,10.5025000235,0 -7.97645486697,10.3288181044,0 -7.97398187025,10.165609038,0 -8.14763679962,9.98389105307,0 -8.14360895986,9.53389097785,0 -7.73610882189,9.09166411201,0 -7.95625481554,8.80444512313,0 -7.67347287094,8.61527311164,0 -7.65337289943,8.38383602383,0 -8.24101790678,8.44654506497,0 -8.22889080159,8.24027296513,0 -7.94683690911,8.01850909653,0 -8.05339084769,8.03281801112,0 -8.1864637869,7.57305419213,0 -8.46974579584,7.56132707136,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",71,82,GN,28.718716,20.194791,,
Guinea-Bissau,1982-2010,0.1,0.2,1,20,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-16.7177727339,12.3224269581,0 -15.6852816836,12.4300001361,0 -15.2180549533,12.6847181277,0 -13.7131367046,12.6772181684,0 -13.6693087386,12.3186091689,0 -13.9639819217,12.1534910403,0 -13.7140727956,12.0161820548,0 -13.7081908788,11.7176360972,0 -14.6781269474,11.5126362027,0 -15.0168456906,10.9564541777,0 -15.0227819221,11.19527304,0 -15.2329179117,10.9958999171,0 -15.2088177607,11.2297540105,0 -15.4077818468,11.1898640303,0 -15.265281781,11.4259091532,0 -15.5011458548,11.3328091751,0 -15.2820817972,11.6193091643,0 -15.0272268454,11.5941641252,0 -15.3390368295,11.6814641616,0 -15.444337003,11.5531269977,0 -15.5561090116,11.7254181914,0 -15.3870547412,11.8803181095,0 -15.9594458582,11.7352731303,0 -15.7058089645,12.0099090385,0 -16.2491728802,11.9281910143,0 -16.3497268848,12.1058360649,0 -16.1152818672,12.3333271203,0 -16.4552818682,12.1718090191,0 -16.7177727339,12.3224269581,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",29,89,GW,11.761280,2.596808,,
Kenya,1970-2010,-18.8,-20.2,8.4,na,"<Polygon><outerBoundaryIs><LinearRing><coordinates>41.9051631882,3.98031818581,0 40.9913541875,2.83553611946,0 40.9983272604,-0.866108972608,0 41.5581542397,-1.67487294493,0 41.3152820567,-1.95805487396,0 40.8916631836,-2.01916397742,0 40.9820822938,-2.25721790725,0 40.6304822417,-2.55284578906,0 40.2311091971,-2.67110891114,0 40.1254821293,-3.26569094921,0 39.4025002307,-4.63389096895,0 39.2030271955,-4.66961782551,0 37.6263821513,-3.5095179987,0 37.7199912463,-3.31194581147,0 37.6027731799,-2.995835911,0 33.9211001515,-1.00194576057,0 33.907218211,0.103053949178,0 34.5200002108,1.10583601414,0 34.8203452601,1.23597310793,0 35.0097182696,1.89528204653,0 34.9094361739,2.52110913752,0 34.4037452251,3.38528218386,0 34.463609113,3.6646542026,0 34.2222181799,3.7791642437,0 33.9966631764,4.22278200256,0 34.3881912626,4.60968193704,0 35.9405541008,4.62250004632,0 36.0453002305,4.44708206743,0 37.0397181619,4.37555409066,0 38.1211090679,3.61166414585,0 39.519027293,3.40930907701,0 39.8666632078,3.8694450525,0 40.783763279,4.28797309288,0 41.1605543029,3.94583604188,0 41.9051631882,3.98031818581,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",35,108,KE,31.994769,47.325633,,
Lesotho,1977-2010,0.7,1.3,0.7,186,"<Polygon><outerBoundaryIs><LinearRing><coordinates>28.8069362294,-28.7574998901,0 29.3269451453,-29.0874999452,0 29.4555542181,-29.3490999823,0 29.1455542222,-29.7169460068,0 29.1665272527,-29.9154179075,0 28.3777821151,-30.160281966,0 28.0799362141,-30.6505270789,0 27.737354084,-30.5965999254,0 27.3789180869,-30.3173269807,0 27.0139732068,-29.6271359256,0 28.1828451982,-28.6982639743,0 28.6477732754,-28.5706999572,0 28.8069362294,-28.7574998901,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",13,125,LS,6.789979,2.864008,,
Liberia,1999-2010,-2.2,5.5,0.2,2750,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-8.46974579584,7.56132707136,0 -8.30889087085,6.8580542123,0 -8.6063818821,6.50781806351,0 -7.89778182063,6.2619451591,0 -7.75763690206,5.94666406122,0 -7.42569090425,5.84555416876,0 -7.52539984541,4.35280912578,0 -9.14278177731,5.05555409258,0 -11.4923268093,6.92709108744,0 -10.6077818825,7.77250007,0 -10.6026367351,8.03291825868,0 -10.2975728419,8.19902712824,0 -10.2666548509,8.48837310887,0 -9.66986384601,8.49069120802,0 -9.4836548373,8.34692715128,0 -9.35385486366,7.74236411052,0 -9.48516374752,7.36199116406,0 -9.32444595046,7.42680909205,0 -9.10997299653,7.19392713176,0 -8.84444587022,7.27173600388,0 -8.66055479302,7.6949999872,0 -8.46974579584,7.56132707136,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",22,124,LR,14.322616,7.785686,,
Madagascar,1970-2010,-1.7,-1.7,2.3,na,"<Polygon><outerBoundaryIs><LinearRing><coordinates>44.5877733697,-25.2938909582,0 44.0322183111,-25.0044460711,0 43.6916632605,-24.3844459116,0 43.6249912555,-23.7616730185,0 43.7599913619,-23.4680547818,0 43.3619361201,-22.8527820157,0 43.2388822374,-22.2824999532,0 43.5005453064,-21.3338909668,0 43.8086092503,-21.2252819531,0 44.4797182322,-19.9805549112,0 44.3708272514,-19.7770818642,0 44.4691632368,-19.4383359636,0 44.2656732583,-19.144935824,0 43.9216631872,-17.5805638978,0 44.437773177,-16.6922177779,0 44.4427731499,-16.2038907797,0 44.8736002921,-16.2102818133,0 45.2650001351,-15.9275000363,0 45.3026362216,-16.1177819794,0 45.3905451194,-15.973335971,0 45.6177733183,-16.0574998345,0 45.7166633476,-15.7916728037,0 46.0636090964,-15.8719459554,0 46.1513822074,-15.7036090083,0 46.3022182435,-15.9611089536,0 46.4777731827,-15.9613909208,0 46.3383363673,-15.6247269173,0 46.9472180999,-15.1988910308,0 47.0763822224,-15.3344458515,0 46.959445285,-15.5580549123,0 47.223618231,-15.4484638749,0 47.0583271,-15.1850000379,0 47.4549912811,-14.6652818064,0 47.4272181801,-15.1105548235,0 47.8112732967,-14.6038909034,0 48.0133272876,-14.7494460052,0 47.6997180441,-14.408335905,0 47.9277732016,-14.2538909566,0 47.9141631701,-14.0888910129,0 48.0030542594,-14.3227819867,0 48.0314001796,-14.0634088537,0 47.9052731559,-13.5963910004,0 48.0633271842,-13.5180549066,0 48.2872182122,-13.8080548433,0 48.3376363657,-13.5508360271,0 48.7927732065,-13.3677817991,0 48.9594451723,-12.8222270216,0 48.733600155,-12.4376357985,0 48.9441631188,-12.4858361005,0 49.283882326,-11.9541729864,0 49.367363232,-12.2058359419,0 49.2325000859,-12.2249998225,0 49.5183273436,-12.3458358536,0 49.5706183496,-12.6487729226,0 49.943327219,-13.039445887,0 50.2000002057,-14.5702818185,0 50.4967822756,-15.2494550295,0 50.4336092123,-15.5799999084,0 50.1727731019,-15.9797270046,0 49.8661092711,-15.4324998697,0 49.633609358,-15.5574998627,0 49.6813823505,-16.0549998481,0 49.8540182081,-16.2313909659,0 49.7886091883,-16.8302819728,0 49.5969361845,-16.9086090142,0 49.4227731442,-17.3158359021,0 49.5102731728,-17.7113908222,0 49.3683271509,-18.3513910409,0 47.1330452291,-24.9280549141,0 45.4877820697,-25.5755549246,0 44.5877733697,-25.2938909582,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",71,134,MG,40.666408,50.869720,,
Malawi,1970-2010,-2.5,-3.1,0.9,na,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>33.222227121,-14.0125638936,0 32.6818733144,-13.6128458498,0 32.9774913056,-13.2291729481,0 33.0463912204,-12.6038908485,0 33.5418002563,-12.3641729432,0 33.2713821218,-12.129926912,0 33.2495092101,-11.4110459433,0 33.4104090621,-11.1631908864,0 33.2504092589,-10.8920819155,0 33.7022821866,-10.561855046,0 33.325973122,-10.064026993,0 33.2291631459,-9.63416376963,0 33.0001273057,-9.62184589233,0 32.9404002105,-9.40507294416,0 33.9188180945,-9.70673596391,0 34.0415271457,-9.48375504296,0 34.3296451775,-9.7402089267,0 34.5348541167,-10.0459728764,0 34.616036202,-11.110763926,0 34.9667271528,-11.5721089072,0 34.6248542994,-11.5793729997,0 34.375273241,-12.1558358777,0 34.5656913062,-13.3395820592,0 35.0952731937,-13.6861088806,0 35.9209632461,-14.8938910078,0 35.8159633124,-16.0136090043,0 35.4116632174,-16.1262549101,0 35.1386181945,-16.549746043,0 35.2900542072,-17.1342639299,0 35.0877732344,-17.1270819799,0 35.1451362977,-16.8361089043,0 34.4506912591,-16.2807000261,0 34.2544360365,-15.8888908109,0 34.5897181994,-15.2827818119,0 34.52221823,-14.5716639943,0 34.3637451066,-14.3859729873,0 33.6333271188,-14.539717879,0 33.222227121,-14.0125638936,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>34.7203912321,-12.0392638884,0 34.7518632669,-12.0392638884,0 34.7161181378,-12.092072896,0 34.7203912321,-12.0392638884,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>34.6179732598,-12.0387269437,0 34.6174363151,-12.0088548465,0 34.6281093277,-12.03072692,0 34.6179732598,-12.0387269437,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",46,147,MW,21.806333,9.760880,,
Mali,1970-2010,-2.5,-3.1,2.3,na,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-5.5198459414,10.4362730976,0 -6.11139071303,10.1977730828,0 -6.24339998872,10.7352540759,0 -6.4219087106,10.5516640767,0 -6.64559974639,10.6639911349,0 -6.65083675951,10.3609730967,0 -6.94083686387,10.3537452139,0 -6.98805497443,10.1474999362,0 -7.63799093359,10.4466641429,0 -7.97398187025,10.165609038,0 -7.97645486697,10.3288181044,0 -8.26999984583,10.5025000235,0 -8.28971777019,11.0077732182,0 -8.67152670431,10.9589270068,0 -8.36284585229,11.3751180049,0 -8.83166380311,11.6616640946,0 -8.77972684869,11.9258360348,0 -8.97999985277,12.3927730866,0 -9.35986385006,12.4884731311,0 -9.3184728386,12.268054055,0 -9.70194574814,12.0291641141,0 -10.3270907198,12.2235362584,0 -10.652745764,11.8926091647,0 -10.9288909177,12.2244450243,0 -11.3195818193,12.0256909887,0 -11.4941637872,12.1763820179,0 -11.3730548414,12.4077730052,0 -11.376108704,12.9829180804,0 -11.6345817882,13.3915271441,0 -11.8095179753,13.3092730135,0 -12.0572177993,13.6647180122,0 -11.9822269231,14.1727731606,0 -12.2063999183,14.3952910652,0 -12.2448368118,14.7643821376,0 -11.8413908327,14.8630540697,0 -11.7116728341,15.5450001819,0 -11.4986088781,15.6418000997,0 -10.8965637611,15.1103641352,0 -10.7163908961,15.4389002072,0 -9.40972678637,15.4443090493,0 -9.33805480849,15.7047180179,0 -9.33360871176,15.4997181233,0 -5.49505495395,15.4983729955,0 -5.33499983016,16.3280541749,0 -5.60139096305,16.507773076,0 -6.57721783316,24.9991640472,0 -4.80610894675,25.0002731406,0 1.17080024825,21.1008540251,0 1.17639114532,20.7337449375,0 1.62750031398,20.5711090257,0 1.78971813644,20.3129180764,0 2.20360914032,20.2830541935,0 2.42166317857,20.0530542668,0 3.233054207,19.8171450983,0 3.2780541307,19.4058271711,0 3.11700910415,19.145554157,0 3.33194524205,18.9763910895,0 4.24528217396,19.1466642562,0 4.20083612642,16.3938911747,0 3.88500014655,15.7091641147,0 3.51810027129,15.3599091515,0 1.3125001775,15.2866642256,0 0.97471819577,14.9786091665,0 0.235045245683,14.9150641143,0 -0.725281976665,15.0827730892,0 -1.07416394517,14.7769449341,0 -1.98083676112,14.4747181476,0 -2.00694588667,14.1877730793,0 -2.46513692534,14.2861090647,0 -2.81555496143,14.0502822066,0 -2.88221791395,13.6643002581,0 -3.2574996924,13.6966641275,0 -3.23221769306,13.2880540579,0 -3.43767289261,13.166500033,0 -3.96425489697,13.503827045,0 -4.33555493613,13.1195092396,0 -4.19444576342,12.8286090865,0 -4.46889073182,12.72389112,0 -4.41749977457,12.3008271289,0 -4.63342682106,12.0672271747,0 -5.27305488331,11.8438910287,0 -5.20860894418,11.4616641729,0 -5.29944580844,11.1394452061,0 -5.48562698923,11.077291047,0 -5.5198459414,10.4362730976,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",85,137,ML,61.913219,106.802442,,
Mauritania,1976-2010,1.1,1.3,2.4,54,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-16.5276818982,16.0602451593,0 -16.0394459275,17.7345819558,0 -16.1791727567,18.9130540762,0 -16.511672966,19.352218027,0 -16.309445805,19.4675000414,0 -16.4688907262,19.4486090756,0 -16.2330549833,19.7938910167,0 -16.196808784,20.2261092195,0 -16.9236817297,21.1584730717,0 -17.0523266771,20.7641,0 -16.9537548249,21.3366641194,0 -12.9997269395,21.3380540066,0 -13.1052817552,22.8930539592,0 -12.5713908989,23.2913819482,0 -12.0002817102,23.4544361169,0 -12.0005547926,26.0000000019,0 -8.66694582657,26.0002730843,0 -8.666790929,27.2904541814,0 -4.80610894675,25.0002731406,0 -6.57721783316,24.9991640472,0 -5.60139096305,16.507773076,0 -5.33499983016,16.3280541749,0 -5.49505495395,15.4983729955,0 -9.33360871176,15.4997181233,0 -9.33805480849,15.7047180179,0 -9.40972678637,15.4443090493,0 -10.7163908961,15.4389002072,0 -10.8965637611,15.1103641352,0 -11.4986088781,15.6418000997,0 -11.7116728341,15.5450001819,0 -11.8413908327,14.8630540697,0 -12.2448368118,14.7643821376,0 -12.8497267468,15.2080540436,0 -13.395417814,16.0554180212,0 -13.8161087207,16.1352730836,0 -14.3436088787,16.6361090664,0 -16.2852817839,16.5170820177,0 -16.5276818982,16.0602451593,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",38,142,MR,50.338188,89.682906,,
Mauritius,1976-2010,-4.5,-5,1.1,na,"<Polygon><outerBoundaryIs><LinearRing><coordinates>57.5294453198,-20.5205548339,0 57.3070821451,-20.4340269384,0 57.6244451401,-19.9863910628,0 57.7895822118,-20.2859730236,0 57.5294453198,-20.5205548339,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",5,145,MU,1.479695,0.121834,,
Mozambique,1984-2010,0.1,0.8,4,20,"<Polygon><outerBoundaryIs><LinearRing><coordinates>31.9685093145,-25.9578360951,0 32.0161091369,-24.4594458403,0 31.5508271758,-23.476672887,0 31.2975002448,-22.4147640387,0 32.4888731201,-21.3444457945,0 32.3605542288,-21.1355550205,0 32.5022181158,-20.5986089605,0 32.6658362191,-20.5572270015,0 33.0188821494,-19.9433359083,0 33.0594363117,-19.7802820748,0 32.7854090973,-19.4670818682,0 32.8848541762,-19.1052818781,0 32.6994360839,-18.9479178482,0 33.0715912448,-18.3497268979,0 32.9461091247,-17.9750000014,0 33.0420270987,-17.35648193,0 32.8650002973,-16.91860896,0 32.9811360924,-16.7090550097,0 31.9111822934,-16.4127089665,0 31.2766633364,-16.0186089771,0 30.4223631662,-16.0055548335,0 30.4157542032,-15.6318729927,0 30.213018093,-14.9817179306,0 33.222227121,-14.0125638936,0 33.6333271188,-14.539717879,0 34.3637451066,-14.3859729873,0 34.52221823,-14.5716639943,0 34.5897181994,-15.2827818119,0 34.2544360365,-15.8888908109,0 34.4506912591,-16.2807000261,0 35.1451362977,-16.8361089043,0 35.0877732344,-17.1270819799,0 35.2900542072,-17.1342639299,0 35.1386181945,-16.549746043,0 35.4116632174,-16.1262549101,0 35.8159633124,-16.0136090043,0 35.9209632461,-14.8938910078,0 35.0952731937,-13.6861088806,0 34.5656913062,-13.3395820592,0 34.375273241,-12.1558358777,0 34.6248542994,-11.5793729997,0 34.9667271528,-11.5721089072,0 35.5733271637,-11.607082063,0 35.8284731353,-11.4168728748,0 36.1876361786,-11.7054178808,0 36.5574271399,-11.7404178587,0 36.8269452256,-11.5721910498,0 37.4732092406,-11.7187090647,0 37.7919361389,-11.5611090003,0 37.9344362046,-11.2880549249,0 38.4917090505,-11.4153089793,0 38.9056910818,-11.1701359638,0 39.2625003191,-11.1694457979,0 40.4368093158,-10.4781728067,0 40.6172182152,-10.841672982,0 40.3877731705,-11.3177818475,0 40.4741632674,-12.5049270585,0 40.6459731723,-12.7554178887,0 40.4127733702,-12.9692358807,0 40.5929091871,-12.9706909791,0 40.6497182066,-14.0216639583,0 40.5327732226,-14.1675000215,0 40.7227733662,-14.2020819101,0 40.636109181,-14.4847268944,0 40.80638218,-14.4059728788,0 40.8461092161,-14.6977819655,0 40.5144451855,-15.1838907768,0 40.6843002628,-15.2548638716,0 40.5877732598,-15.4797270328,0 39.6986092338,-16.536945871,0 39.0961820696,-16.9843728695,0 37.8722181754,-17.3763909618,0 36.9838911662,-18.0013909265,0 36.8463823562,-17.8755550902,0 36.943882163,-18.1086088795,0 36.2527821743,-18.8913909636,0 36.10013615,-18.8130550374,0 34.8906912209,-19.8604179309,0 34.6268000744,-19.6186089084,0 34.7761002106,-19.8259089649,0 34.666936315,-20.3911818344,0 35.1118001276,-20.9333000316,0 35.3067362062,-22.4074997785,0 35.3972181807,-22.4599999968,0 35.4458271843,-22.1202817954,0 35.545273269,-22.2324998889,0 35.597263197,-22.919672956,0 35.3383361489,-23.9058360538,0 35.5229091778,-23.7954908128,0 35.4955541661,-24.1022178432,0 35.0122182561,-24.6541639895,0 32.811109186,-25.6120819176,0 32.5871542879,-25.9724358617,0 32.8431912558,-26.2911089482,0 32.9456181129,-26.0877089913,0 32.8904273036,-26.8471459662,0 32.1334001259,-26.8396268961,0 31.9685093145,-25.9578360951,0</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>34.7203912321,-12.0392638884,0 34.7161181378,-12.092072896,0 34.7518632669,-12.0392638884,0 34.7203912321,-12.0392638884,0</coordinates></LinearRing></innerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>34.6179732598,-12.0387269437,0 34.6281093277,-12.03072692,0 34.6174363151,-12.0088548465,0 34.6179732598,-12.0387269437,0</coordinates></LinearRing></innerBoundaryIs></Polygon>",106,150,MZ,62.451821,67.419018,,
Namibia,1998-2010,0.6,0.7,2.9,24,"<Polygon><outerBoundaryIs><LinearRing><coordinates>20.0009452738,-24.765408944,0 19.9969452619,-28.415581942,0 19.5674541951,-28.528326922,0 19.1458271975,-28.9549999929,0 18.1813182436,-28.9084730541,0 17.4009001915,-28.7083998746,0 17.3980542001,-28.342226878,0 17.075763149,-28.030345983,0 16.4895911773,-28.5781818116,0 15.7563910681,-28.0341729923,0 15.2941633049,-27.3224999575,0 14.8377732019,-25.7619459882,0 14.8566631619,-25.0588910586,0 14.4626362628,-24.103335989,0 14.5113911115,-22.5527819655,0 13.40389108,-20.8623638172,0 12.4608361103,-18.9280549169,0 11.8072181487,-18.0862548466,0 11.7527822136,-17.2548360987,0 12.0877731892,-17.1365270437,0 12.5572181064,-17.2433359598,0 13.1491630301,-16.95417304,0 13.4720822211,-17.0108358791,0 13.9932181677,-17.4239460248,0 18.4515362182,-17.3898360374,0 18.9194452355,-17.8163909236,0 20.3213182102,-17.8572268854,0 20.8541631726,-18.0163908452,0 23.4761091621,-17.625835898,0 24.6638912301,-17.4936180806,0 25.2644272693,-17.8022548438,0 24.8327731685,-17.8377089532,0 24.5663181655,-18.0542359764,0 24.3630543307,-17.9491639583,0 23.6132541975,-18.4851638691,0 23.2971090931,-17.9959460422,0 20.9932911987,-18.3184178072,0 20.9919450651,-21.9969459455,0 19.9966632947,-22.0049999487,0 20.0009452738,-24.765408944,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",40,151,NA,47.159617,72.408444,,
