Country,Period,"Real capital flight for period ($bn, 2000)","Flight stock ($bn, 2010)","External debt ($bn, 2010)",Flight stock to debt (%) 2010,geometry,geometry_vertex_count,OBJECTID,ISO_2DIGIT,Shape_Leng,Shape_Area,import_notes,Google requests
Niger,1974-2010,-3.3,-3.6,1.1,na,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.235045245683,14.9150641143,0 0.97471819577,14.9786091665,0 1.3125001775,15.2866642256,0 3.51810027129,15.3599091515,0 3.88500014655,15.7091641147,0 4.20083612642,16.3938911747,0 4.24528217396,19.1466642562,0 5.81250025923,19.4461090891,0 7.46377307561,20.8566732593,0 11.9864731952,23.522309081,0 13.5438913269,23.1686091945,0 14.2350000328,22.6141642352,0 14.99789119,23.0005910951,0 15.2095821902,21.4918002395,0 15.5830541482,21.0186089469,0 15.5775002991,20.76597302,0 15.9966631848,20.3530539817,0 15.7538910817,19.9325002029,0 15.4897181356,16.9209730758,0 14.3688912134,15.7338910644,0 13.6743732522,14.5522909853,0 13.4650001834,14.4508360937,0 13.6251181715,13.7183360411,0 12.8761091224,13.4733269756,0 12.45916325,13.0661089725,0 11.4633363207,13.3733362349,0 10.7145820814,13.3854180778,0 10.1415271177,13.256109116,0 9.63492723529,12.8024360908,0 8.81860915652,12.8966641055,0 7.81500013299,13.3527730794,0 6.94221820151,12.9968000208,0 6.28500004485,13.6838911128,0 5.54836318774,13.8914999586,0 4.88555413401,13.7813910872,0 4.14278222667,13.4734729884,0 4.10500012745,12.9963909839,0 3.65778217353,12.5288911712,0 3.60445415845,11.6932730898,0 2.83861827099,12.3966540754,0 2.38836321827,12.2473271171,0 2.39792713746,11.8961542068,0 2.05833617337,12.357218059,0 2.25610919101,12.4811089585,0 2.14229115983,12.6941001596,0 1.57833609313,12.6300000578,0 0.989163232466,13.0472180067,0 0.991663218914,13.3716642128,0 1.27651817581,13.3480542355,0 0.607573233663,13.6988181089,0 0.166663164816,14.5230540688,0 0.235045245683,14.9150641143,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",52,153,NE,49.589188,100.525420,,
Nigeria,1970-2010,233.9,306.2,7.9,3876,"<Polygon><outerBoundaryIs><LinearRing><coordinates>14.0747180947,13.0816641085,0 14.1744451407,12.3966641337,0 14.6452821244,12.1883270681,0 14.6445091453,11.5723542455,0 13.807218036,11.0558271722,0 13.4543001811,10.1587449299,0 13.253054038,10.0718090034,0 13.2418090444,9.58500013551,0 12.8977822095,9.34805412564,0 12.7972183142,8.77139108786,0 12.2505542756,8.4009731602,0 12.0422913061,7.57736399911,0 11.7549631848,7.26830009412,0 11.8641632903,7.08471814152,0 11.3402732179,6.44083592812,0 11.1278451131,6.43791818762,0 11.0436091653,6.75333624579,0 10.6203451819,7.05708200084,0 10.513336106,6.87805410388,0 10.2306911217,6.88124509443,0 10.1661090605,7.02013608028,0 9.79555417251,6.80166412034,0 9.70884522794,6.5212540867,0 8.86444509125,5.83757308818,0 8.82471805521,5.18860909451,0 8.59173618264,4.81092707425,0 8.47860915556,4.70389117623,0 8.27471818678,4.85666410252,0 8.29368224277,4.54749994997,0 7.69528224779,4.49750005337,0 7.53721816128,4.53999999062,0 7.5504002128,4.70655393924,0 7.2725002239,4.55778203062,0 7.07430928458,4.75305405598,0 7.17944517278,4.50694511717,0 7.07305417839,4.43471792203,0 6.96389112098,4.72486403914,0 7.00868216765,4.37131804442,0 6.87166319606,4.3926360741,0 6.76284513778,4.76347309693,0 6.84860910659,4.34833603932,0 6.72048232846,4.34819103239,0 6.73242721107,4.60353615797,0 6.69236305489,4.3318091055,0 6.25118225057,4.30156418128,0 6.25278218825,4.44999997558,0 6.11173621508,4.27284509871,0 5.73694511324,4.48944504439,0 5.45194531705,4.92305414028,0 5.34527319363,5.33000006681,0 5.63604527128,5.53673602117,0 5.26194517353,5.43319118583,0 5.21479110071,5.57763602074,0 5.50250026328,5.61694496745,0 5.18208223222,5.57486412536,0 4.53374520491,6.29916399442,0 3.41305423709,6.40971811249,0 3.80721809652,6.6127821227,0 3.44305424211,6.57833618859,0 3.31916317494,6.3855540914,0 2.71960915953,6.36550910518,0 2.79208211207,9.05041793983,0 3.095000238,9.09055418038,0 3.17139122738,9.49639101349,0 3.61200927071,9.95410009272,0 3.58194506032,10.275272998,0 3.85500014154,10.5850000792,0 3.73577310059,11.1206360477,0 3.47500018977,11.4297180576,0 3.60445415845,11.6932730898,0 3.65778217353,12.5288911712,0 4.10500012745,12.9963909839,0 4.14278222667,13.4734729884,0 4.88555413401,13.7813910872,0 5.54836318774,13.8914999586,0 6.28500004485,13.6838911128,0 6.94221820151,12.9968000208,0 7.81500013299,13.3527730794,0 8.81860915652,12.8966641055,0 9.63492723529,12.8024360908,0 10.1415271177,13.256109116,0 10.7145820814,13.3854180778,0 11.4633363207,13.3733362349,0 12.45916325,13.0661089725,0 12.8761091224,13.4733269756,0 13.6251181715,13.7183360411,0 14.0747180947,13.0816641085,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",87,155,NG,44.667981,74.981697,,
Rwanda,1976-2010,-0.6,-0.8,0.8,na,"<Polygon><outerBoundaryIs><LinearRing><coordinates>29.5969451904,-1.38583592125,0 29.8352822609,-1.31971779244,0 29.979718211,-1.46221802581,0 30.4822181693,-1.06333582543,0 30.8309361878,-1.65489987544,0 30.8932631818,-2.07548198501,0 30.8307633529,-2.35430884477,0 30.5733271102,-2.39916392918,0 29.9522181925,-2.30944588136,0 29.8219451442,-2.77278189986,0 29.380482205,-2.82548194275,0 29.1405542493,-2.58916390507,0 29.0244362239,-2.7447177792,0 28.8674272513,-2.39868180211,0 29.1183271184,-2.24110889513,0 29.2708361824,-1.62639084337,0 29.5969451904,-1.38583592125,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",17,183,RW,6.549930,2.026141,,
Sao Tome & Principe,1977-2010,0,0,0.2,na,"<Polygon><outerBoundaryIs><LinearRing><coordinates>6.52389132682,0.0183360418903,0 6.46721809417,0.259718257849,0 6.68778217715,0.402218155943,0 6.75152722153,0.22680922951,0 6.52389132682,0.0183360418903,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",5,199,ST,1.005844,0.057267,,
Senegal,1974-2010,-5.7,-5.7,3.7,na,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-16.4569178481,12.6190640211,0 -16.5939638094,12.7833360804,0 -16.7529178864,12.5647182753,0 -16.7508728696,13.0599732517,0 -15.8097179097,13.1597180674,0 -15.8065269192,13.3394450151,0 -15.2904179352,13.3727731386,0 -15.1116639589,13.5958362022,0 -14.3511088381,13.2377820847,0 -13.803472834,13.3844451065,0 -13.9191638853,13.5681910091,0 -14.3348637039,13.4540271406,0 -15.0702819999,13.8263911785,0 -15.3644458985,13.7813910872,0 -15.4881998377,13.5908360617,0 -16.5656728744,13.5900000507,0 -16.6386177281,13.7527730904,0 -16.4908368957,13.9580539464,0 -16.6984368567,13.7704449922,0 -16.7453458427,13.9534730686,0 -16.3674267822,14.1663911795,0 -16.7758368596,14.0124999397,0 -17.1755549033,14.6544450953,0 -17.5327818947,14.7501360873,0 -16.8793728101,15.2243090684,0 -16.546390809,15.7566640248,0 -16.5276818982,16.0602451593,0 -16.2852817839,16.5170820177,0 -14.3436088787,16.6361090664,0 -13.8161087207,16.1352730836,0 -13.395417814,16.0554180212,0 -12.8497267468,15.2080540436,0 -12.2448368118,14.7643821376,0 -12.2063999183,14.3952910652,0 -11.9822269231,14.1727731606,0 -12.0572177993,13.6647180122,0 -11.8095179753,13.3092730135,0 -11.6345817882,13.3915271441,0 -11.376108704,12.9829180804,0 -11.3730548414,12.4077730052,0 -12.3453998689,12.3017451149,0 -12.8962548591,12.5450000157,0 -13.0456998345,12.4790270614,0 -13.0563178618,12.634099982,0 -13.7131367046,12.6772181684,0 -15.2180549533,12.6847181277,0 -15.6852816836,12.4300001361,0 -16.7177727339,12.3224269581,0 -16.8001368351,12.4863910663,0 -16.5837549866,12.6326361664,0 -16.374626837,12.5452271652,0 -15.6344459436,12.5310359326,0 -15.3918087891,12.8329182229,0 -15.6456267319,12.5570820262,0 -16.0213819203,12.7249361757,0 -16.3409998149,12.6066541105,0 -16.4216637308,12.5768001182,0 -16.4569178481,12.6190640211,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",58,196,SN,28.988260,16.483942,,
Seychelles,1981-2010,0.5,0.7,1.6,44,"<Polygon><outerBoundaryIs><LinearRing><coordinates>55.5324912484,-4.78916388169,0 55.3754091857,-4.62513607106,0 55.4638823533,-4.55166399566,0 55.5377453606,-4.66147296253,0 55.5324912484,-4.78916388169,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",5,186,SC,0.602253,0.018031,,
Sierra Leone,1977-2010,-0.2,0,0.8,0,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-13.295608793,9.03214505558,0 -12.7977817457,9.2980540614,0 -12.4561088845,9.8883360155,0 -11.2144457635,9.99750007874,0 -10.6572909349,9.30263611261,0 -10.7396548685,9.0913910296,0 -10.5715267984,9.05952705695,0 -10.5080548364,8.71791806585,0 -10.6958367931,8.29860899974,0 -10.2666548509,8.48837310887,0 -10.2975728419,8.19902712824,0 -10.6026367351,8.03291825868,0 -10.6077818825,7.77250007,0 -11.4923268093,6.92709108744,0 -12.5041638443,7.38860923877,0 -12.1843089095,7.5910360567,0 -12.4605549812,7.55541816488,0 -12.9589637326,7.90326396251,0 -12.9743368136,8.24777325975,0 -13.1327817738,8.19499995902,0 -13.2849998181,8.49757308582,0 -13.0558999401,8.36958209453,0 -13.0955548918,8.48527314579,0 -12.8974997393,8.56778208631,0 -13.1791638733,8.53944505089,0 -13.1322268918,8.86194497907,0 -13.295608793,9.03214505558,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-12.8849998071,7.61416407456,0 -12.5911088233,7.63444509517,0 -12.4962548481,7.50083604944,0 -12.8849998071,7.61416407456,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",31,194,SL,12.715030,5.980126,,
South Africa,1970-2010,29.8,60.3,45.5,133,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>20.0009452738,-24.765408944,0 20.3900001956,-25.0369458949,0 20.8102731806,-25.880835909,0 20.6411091073,-26.8259729435,0 21.6683272699,-26.8636819525,0 22.6248092104,-26.1115638878,0 23.0148272128,-25.2997269421,0 23.4543732108,-25.2770180194,0 23.9019452163,-25.6248638171,0 24.6845730733,-25.8282178411,0 25.5097181343,-25.6777817894,0 25.8713912224,-24.7444459718,0 26.4110451401,-24.6282727934,0 26.8304091915,-24.2751360032,0 27.0052090888,-23.6437550632,0 27.5290911145,-23.3793729048,0 28.2983362573,-22.6094459781,0 29.3736182645,-22.1924090783,0 31.2975002448,-22.4147640387,0 31.5508271758,-23.476672887,0 32.0161091369,-24.4594458403,0 31.9685093145,-25.9578360951,0 31.3256912675,-25.7533359296,0 30.8294452149,-26.3908359943,0 30.8207630719,-26.8102089305,0 31.1616632892,-27.2030549871,0 31.5175000581,-27.3130548937,0 31.9855540823,-27.3163910588,0 32.0155913029,-26.8070819777,0 32.1334001259,-26.8396268961,0 32.8904273036,-26.8471459662,0 32.3944362284,-28.5313910105,0 31.3258362744,-29.3908359929,0 30.0238913438,-31.281109056,0 27.9000002217,-33.040555027,0 26.5305541482,-33.7533358141,0 25.7250001096,-33.7672269747,0 25.7019451819,-34.0319548027,0 25.0226361841,-33.9680550284,0 24.8247181595,-34.2016729198,0 23.6493000693,-33.9838909581,0 23.3661821781,-34.0908998664,0 22.5391632588,-34.011181932,0 21.8025002501,-34.383054958,0 20.5044451931,-34.4647268817,0 20.0000001304,-34.8219999735,0 19.3204091653,-34.5952818972,0 19.2781911953,-34.4091729684,0 18.8197181894,-34.3788909962,0 18.7990271261,-34.0888908918,0 18.4859730999,-34.0994458872,0 18.4047182597,-34.302781974,0 18.3105541152,-34.0355548301,0 18.4390272335,-33.7019549151,0 17.8475002316,-32.8308361209,0 18.2897180449,-32.6293090165,0 18.2790911328,-31.9029819003,0 17.2779182256,-30.3422909707,0 16.4895911773,-28.5781818116,0 17.075763149,-28.030345983,0 17.3980542001,-28.342226878,0 17.4009001915,-28.7083998746,0 18.1813182436,-28.9084730541,0 19.1458271975,-28.9549999929,0 19.5674541951,-28.528326922,0 19.9969452619,-28.415581942,0 20.0009452738,-24.765408944,0</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>28.8069362294,-28.7574998901,0 28.6477732754,-28.5706999572,0 28.1828451982,-28.6982639743,0 27.0139732068,-29.6271359256,0 27.3789180869,-30.3173269807,0 27.737354084,-30.5965999254,0 28.0799362141,-30.6505270789,0 28.3777821151,-30.160281966,0 29.1665272527,-29.9154179075,0 29.1455542222,-29.7169460068,0 29.4555542181,-29.3490999823,0 29.3269451453,-29.0874999452,0 28.8069362294,-28.7574998901,0</coordinates></LinearRing></innerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>37.8200000919,-46.9697268208,0 37.5759732179,-46.912917969,0 37.7775001547,-46.8315268391,0 37.8200000919,-46.9697268208,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",84,234,ZA,65.252898,112.984260,,
Sudan,1970-2010,36.1,53.9,21.7,248,"<Polygon><outerBoundaryIs><LinearRing><coordinates>30.8588180859,3.49339113312,0 30.7863912338,3.66000006703,0 30.5620091939,3.61326408353,0 30.5510361092,3.86381811325,0 30.2077732009,3.9616640926,0 29.6433271223,4.64360919898,0 29.467773189,4.66389122542,0 29.2436092462,4.34610913527,0 28.7825001317,4.55736410893,0 28.363054273,4.29000017235,0 27.7894450978,4.60013612276,0 27.7688911624,4.78777324013,0 27.4552732018,5.01639115862,0 27.1427732194,5.77194513306,0 26.4422911988,6.07742711554,0 26.5254182209,6.21624517884,0 26.2980542351,6.46555416065,0 26.4040271402,6.64402717562,0 25.200273188,7.5163911854,0 25.255827269,7.84569101637,0 24.8044451855,8.19278210744,0 24.1848540629,8.30986421936,0 24.2011090878,8.68694508952,0 23.5296542685,8.70833620939,0 23.5816631397,8.99374504246,0 23.4483271763,9.01958209143,0 23.6493000693,9.27597311089,0 23.6691631683,9.86694506326,0 22.866500048,10.9224451084,0 22.9713911846,11.2802730822,0 22.5590271959,11.6290271428,0 22.4643002903,12.6148641847,0 22.2233271112,12.7472181242,0 21.9527731899,12.6438910507,0 21.8291000523,12.7972000835,0 22.2850003168,13.3405539409,0 22.0844451779,13.7791641832,0 22.5561822103,14.1297910963,0 22.3865271251,14.5626360979,0 22.6999271563,14.7041001604,0 22.9293732068,15.1140270269,0 22.9372181653,15.5619450374,0 23.1181541187,15.7102909777,0 23.9975632857,15.7028449978,0 24.0027453136,19.4990641095,0 24.0058271717,19.9988181563,0 25.0008273101,19.9991180608,0 25.0014182343,21.9996911027,0 31.2743001426,21.9987451211,0 31.4483272285,22.2322180055,0 31.4602731169,21.9981910773,0 36.8884631983,22.0001090243,0 36.9113821715,21.6086091014,0 37.3065910866,21.0632642067,0 37.0938183179,21.169091099,0 37.4356911713,18.853891083,0 38.6006912264,17.9948821273,0 38.2575002349,17.5327732194,0 37.5120731083,17.3211821314,0 37.4232911514,17.03421812,0 36.993809137,17.0648910242,0 36.9668732205,16.2599270715,0 36.4432822145,15.149954211,0 36.5428181532,14.262054176,0 36.1425452274,12.7148540872,0 35.7010822882,12.6661181816,0 35.0836091049,11.8055540475,0 34.9752731737,10.8644450205,0 34.8005542455,10.7233269629,0 34.5944452575,10.887782083,0 34.286109237,10.5541640631,0 34.3483270986,10.2384730902,0 34.0858271805,9.55305402021,0 34.121663337,8.57958196199,0 33.7713271083,8.36774511662,0 33.2635361575,8.46152721403,0 32.9918002202,7.92603608476,0 33.0522183196,7.79069114688,0 33.712491177,7.65847299416,0 34.7047182466,6.67778210563,0 35.3030542038,5.37736419013,0 35.8216631742,5.32860900615,0 35.7744363465,4.79860902931,0 35.9405541008,4.62250004632,0 34.3881912626,4.60968193704,0 33.9966631764,4.22278200256,0 33.5112363168,3.75270006073,0 33.016663292,3.8886091007,0 32.4044452267,3.74360921616,0 32.1945271666,3.5127541677,0 31.8216632319,3.80694522366,0 31.5408361148,3.65360920111,0 31.1766632079,3.79528214064,0 30.8588180859,3.49339113312,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",94,187,SD,69.978736,208.685023,,
Swaziland,1974-2010,0.6,0.8,0.6,133,"<Polygon><outerBoundaryIs><LinearRing><coordinates>31.9685093145,-25.9578360951,0 32.1334001259,-26.8396268961,0 32.0155913029,-26.8070819777,0 31.9855540823,-27.3163910588,0 31.5175000581,-27.3130548937,0 31.1616632892,-27.2030549871,0 30.8207630719,-26.8102089305,0 30.8294452149,-26.3908359943,0 31.3256912675,-25.7533359296,0 31.9685093145,-25.9578360951,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,202,SZ,4.792047,1.521173,,
Tanzania,1970-2010,1.2,6.8,8.6,79,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>34.9667271528,-11.5721089072,0 34.616036202,-11.110763926,0 34.5348541167,-10.0459728764,0 34.3296451775,-9.7402089267,0 34.0415271457,-9.48375504296,0 33.9188180945,-9.70673596391,0 32.9404002105,-9.40507294416,0 31.9816630352,-9.07062679226,0 31.4147183112,-8.63360894399,0 31.0326361271,-8.5849999404,0 30.7712362499,-8.19224608473,0 30.3150000387,-7.14375498705,0 29.5502822971,-6.29528191596,0 29.6316633687,-5.72194599083,0 29.347909291,-4.93041789369,0 29.4233361939,-4.44749990531,0 30.0261091954,-4.2694459855,0 30.44847313,-3.55104597046,0 30.8336091767,-3.25902683326,0 30.8436632696,-2.97879080793,0 30.4169452716,-2.85604588221,0 30.5733271102,-2.39916392918,0 30.8307633529,-2.35430884477,0 30.8932631818,-2.07548198501,0 30.8309361878,-1.65489987544,0 30.4822181693,-1.06333582543,0 33.9211001515,-1.00194576057,0 37.6027731799,-2.995835911,0 37.7199912463,-3.31194581147,0 37.6263821513,-3.5095179987,0 39.2030271955,-4.66961782551,0 38.7761092053,-6.03972690752,0 38.870827226,-6.385281931,0 39.5478821624,-6.99430900577,0 39.2744361492,-7.57916384519,0 39.4466631376,-7.81416391241,0 39.2952911626,-8.26786392735,0 39.5338822048,-8.91110894847,0 39.3927002772,-8.90666385756,0 39.6447181224,-9.19360892584,0 39.8263822956,-9.99305490402,0 40.4368093158,-10.4781728067,0 39.2625003191,-11.1694457979,0 38.9056910818,-11.1701359638,0 38.4917090505,-11.4153089793,0 37.9344362046,-11.2880549249,0 37.7919361389,-11.5611090003,0 37.4732092406,-11.7187090647,0 36.8269452256,-11.5721910498,0 36.5574271399,-11.7404178587,0 36.1876361786,-11.7054178808,0 35.8284731353,-11.4168728748,0 35.5733271637,-11.607082063,0 34.9667271528,-11.5721089072,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>39.1933271542,-6.02389081017,0 39.311109155,-5.72416384242,0 39.5591631983,-6.44416396278,0 39.2580542224,-6.30860880677,0 39.1933271542,-6.02389081017,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>39.7427733141,-5.1591640553,0 39.6894362466,-4.90110906042,0 39.8730542413,-4.98833600661,0 39.7333270768,-5.46347290661,0 39.7427733141,-5.1591640553,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",64,217,TZ,41.487893,76.774676,,
The Gambia,1970-2010,0.8,1.9,0.5,380,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-16.5656728744,13.5900000507,0 -15.4881998377,13.5908360617,0 -15.3644458985,13.7813910872,0 -15.0702819999,13.8263911785,0 -14.3348637039,13.4540271406,0 -13.9191638853,13.5681910091,0 -13.803472834,13.3844451065,0 -14.3511088381,13.2377820847,0 -15.1116639589,13.5958362022,0 -15.2904179352,13.3727731386,0 -15.8065269192,13.3394450151,0 -15.8097179097,13.1597180674,0 -16.7508728696,13.0599732517,0 -16.8171179005,13.370645141,0 -16.6843088236,13.4894450402,0 -16.4216729509,13.2569451271,0 -16.1713908302,13.2616641386,0 -16.1593909623,13.3881361614,0 -16.1558998996,13.4248641524,0 -15.9746729265,13.4305450711,0 -15.3057638589,13.4515271541,0 -15.5472268764,13.5286820702,0 -16.1428908505,13.4549540115,0 -16.4035457442,13.3320820161,0 -16.5656728744,13.5900000507,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",25,81,GM,9.969514,0.829003,,
Togo,1974-2010,-0.4,0.2,1.7,12,"<Polygon><outerBoundaryIs><LinearRing><coordinates>1.19889119099,6.10054507512,0 0.758891229197,6.4477820113,0 0.525000255404,6.94778215077,0 0.726245224981,8.32374515397,0 0.382736056428,8.76075411743,0 0.512782122749,8.84444507394,0 0.550627253882,9.40889098489,0 0.217218278684,9.46028210978,0 0.366527132022,10.254164013,0 -0.0787547698948,10.6508271883,0 0.0313180592932,11.0771542543,0 -0.149763906863,11.1385361049,0 0.504163179327,10.9369451304,0 0.917973046389,10.9964001491,0 0.776663210912,10.3766640195,0 1.3550002824,9.99528205952,0 1.33750020962,9.54250019826,0 1.61971821978,9.03423617279,0 1.55388205819,6.99656415683,0 1.79780013514,6.28025408553,0 1.63540025775,6.21871800792,0 1.19889119099,6.10054507512,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",22,206,TG,13.038895,4.596637,,
Uganda,1970-2010,2.8,5.4,3,180,"<Polygon><outerBoundaryIs><LinearRing><coordinates>30.8588180859,3.49339113312,0 31.1766632079,3.79528214064,0 31.5408361148,3.65360920111,0 31.8216632319,3.80694522366,0 32.1945271666,3.5127541677,0 32.4044452267,3.74360921616,0 33.016663292,3.8886091007,0 33.5112363168,3.75270006073,0 33.9966631764,4.22278200256,0 34.2222181799,3.7791642437,0 34.463609113,3.6646542026,0 34.4037452251,3.38528218386,0 34.9094361739,2.52110913752,0 35.0097182696,1.89528204653,0 34.8203452601,1.23597310793,0 34.5200002108,1.10583601414,0 33.907218211,0.103053949178,0 33.9211001515,-1.00194576057,0 30.4822181693,-1.06333582543,0 29.979718211,-1.46221802581,0 29.8352822609,-1.31971779244,0 29.5969451904,-1.38583592125,0 29.7186091859,0.0770821192022,0 29.9598631587,0.483745240321,0 29.9575001326,0.81833606387,0 31.3027733001,2.12139092612,0 30.7297181688,2.44805397798,0 30.8588180859,3.49339113312,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",28,219,UG,20.125487,19.877147,,
Zambia,1970-2010,6,11.4,3.7,308,"<Polygon><outerBoundaryIs><LinearRing><coordinates>23.9862093273,-10.8704639813,0 24.3986093583,-11.1118089816,0 24.4491632987,-11.462635887,0 25.3444451082,-11.2052819545,0 25.3636091564,-11.642981922,0 26.0047181333,-11.9024998943,0 26.8739541844,-11.9717359235,0 27.0331181443,-11.5969459951,0 27.2089733232,-11.5764909662,0 27.6554181304,-12.2902819403,0 28.4462451651,-12.5258358837,0 29.0187452469,-13.3984729758,0 29.5947182864,-13.2234730863,0 29.6340272331,-13.4155549593,0 29.8016631178,-13.4497269728,0 29.8050450481,-12.1552459593,0 29.4735362503,-12.2490999735,0 29.481663176,-12.4594458459,0 29.0270822231,-12.3769457902,0 28.3654092525,-11.555554816,0 28.6987453051,-10.6518729984,0 28.5950003099,-10.2461089202,0 28.6955541469,-9.79576384582,0 28.3771450904,-9.25041794533,0 28.8683273001,-8.82694609081,0 28.901663135,-8.47860894601,0 30.7712362499,-8.19224608473,0 31.0326361271,-8.5849999404,0 31.4147183112,-8.63360894399,0 31.9816630352,-9.07062679226,0 32.9404002105,-9.40507294416,0 33.0001273057,-9.62184589233,0 33.2291631459,-9.63416376963,0 33.325973122,-10.064026993,0 33.7022821866,-10.561855046,0 33.2504092589,-10.8920819155,0 33.4104090621,-11.1631908864,0 33.2495092101,-11.4110459433,0 33.2713821218,-12.129926912,0 33.5418002563,-12.3641729432,0 33.0463912204,-12.6038908485,0 32.9774913056,-13.2291729481,0 32.6818733144,-13.6128458498,0 33.222227121,-14.0125638936,0 30.213018093,-14.9817179306,0 30.4157542032,-15.6318729927,0 29.5784733198,-15.6609000264,0 28.9277092286,-15.9723638379,0 28.7526362488,-16.5559000363,0 27.8252732078,-16.9591637928,0 27.0294002673,-17.9612639061,0 26.6985821383,-18.0749178196,0 25.2644272693,-17.8022548438,0 24.6638912301,-17.4936180806,0 23.4761091621,-17.625835898,0 22.1883271333,-16.5411178795,0 22.0001451923,-16.1716640383,0 22.0015272005,-13.0045818635,0 24.0194452499,-12.9994457685,0 23.8870091677,-12.7636090197,0 24.050691141,-12.3924269978,0 23.9862093273,-10.8704639813,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",62,235,ZM,46.915344,62.752400,,
Zimbabwe,1970-2010,-3.2,0.8,4.5,18,"<Polygon><outerBoundaryIs><LinearRing><coordinates>30.4157542032,-15.6318729927,0 30.4223631662,-16.0055548335,0 31.2766633364,-16.0186089771,0 31.9111822934,-16.4127089665,0 32.9811360924,-16.7090550097,0 32.8650002973,-16.91860896,0 33.0420270987,-17.35648193,0 32.9461091247,-17.9750000014,0 33.0715912448,-18.3497268979,0 32.6994360839,-18.9479178482,0 32.8848541762,-19.1052818781,0 32.7854090973,-19.4670818682,0 33.0594363117,-19.7802820748,0 33.0188821494,-19.9433359083,0 32.6658362191,-20.5572270015,0 32.5022181158,-20.5986089605,0 32.3605542288,-21.1355550205,0 32.4888731201,-21.3444457945,0 31.2975002448,-22.4147640387,0 29.3736182645,-22.1924090783,0 29.0758273488,-22.0394458828,0 29.0725181734,-21.8094089081,0 28.0158272274,-21.5661089127,0 27.6867362735,-21.0711820039,0 27.7155822581,-20.5102181032,0 27.2874542563,-20.4949638776,0 27.2136091862,-20.087363995,0 26.1693732455,-19.5298638319,0 25.2644272693,-17.8022548438,0 26.6985821383,-18.0749178196,0 27.0294002673,-17.9612639061,0 27.8252732078,-16.9591637928,0 28.7526362488,-16.5559000363,0 28.9277092286,-15.9723638379,0 29.5784733198,-15.6609000264,0 30.4157542032,-15.6318729927,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",36,236,ZW,24.991986,33.503487,,
