President ,X2013
Muammar Gaddafi,42
Theodoro Obiang,35
Jose Eduardo Dos Santos,34
Robert Mugabe ,32
Yoweri Museveni ,26
Blaise Campaore,25
Paul Biya ,30
Dennis Sassou Nguesso ,27
Hosni Mubarak ,32
Abdelaziz Bouteflika,13
Ismail Omar Guleh,12
Francoise Bozize,9
Joseph Kabila,12
Ian Khama ,5
Yayi Boni,12
Mohammed Morsi,2
Pierre Nkurunziza,7
Isaias Aferwerki,20
Meles Zenawi,17
Yahya Jammeh,18
Haile Meriam Desalegne,2
Ikililou Dhoinine,2
Ahmed Mohamoud Silanyo,3
Salva Kiir ,3
King Mswati ,18
Manuel Serifo Nhamanjo,2
Andry Rajoelina,4
Joyce Banda,2
Mwai Kibaki ,10
Mohammed VI,14
Anerood Jugnauth,9